Victory,899,Jax,Varus,Kassadin,Kayle,Quinn,Lux,Twitch,Kha'Zix,Rammus,Nunu & Willump
Defeat,551,Volibear,Master Yi,Taliyah,Sejuani,Katarina,Dr. Mundo,Braum,Veigar,Sivir,Nunu & Willump
Defeat,1590,Ezreal,Karma,Tahm Kench,Karthus,Illaoi,Fiddlesticks,Kalista,Veigar,Jax,Ryze
Victory,822,Rakan,Garen,Tahm Kench,Nidalee,Xayah,Maokai,Ahri,Malphite,Pantheon,Rengar
Defeat,1921,Alistar,Nami,Thresh,Kog'Maw,Illaoi,Karthus,Wukong,Ezreal,Master Yi,Galio
Victory,1037,Yasuo,Garen,Amumu,Nami,Ahri,LeBlanc,Kayn,Vi,Jarvan IV,Twisted Fate
Defeat,1675,Ezreal,Olaf,Karma,Malphite,Aatrox,Xerath,Illaoi,Kog'Maw,Varus,Gragas
Victory,1167,Ryze,Urgot,Yasuo,Jhin,Swain,Miss Fortune,Graves,Ahri,Cho'Gath,Braum
Defeat,1338,Ashe,Xayah,Akali,Diana,Kennen,Ryze,Miss Fortune,Tryndamere,Syndra,Pyke
Victory,1210,Warwick,Vel'Koz,Lucian,Morgana,Amumu,Janna,Veigar,Cho'Gath,Ekko,Master Yi
Victory,1026,Jinx,LeBlanc,Illaoi,Pyke,Vi,Ezreal,Varus,Soraka,Jayce,Darius
Defeat,1192,Taliyah,Kayle,Jayce,Mordekaiser,Blitzcrank,Darius,Zyra,Yasuo,Quinn,Draven
Victory,936,Gangplank,Dr. Mundo,Zilean,Sona,Annie,Alistar,Evelynn,Kayn,Tristana,Lissandra
Victory,1144,Viktor,Jhin,Tristana,Kled,Sona,Karma,Jinx,Jayce,Janna,Lee Sin
Defeat,1201,Viktor,Twisted Fate,Karma,Blitzcrank,Twitch,Rumble,Wukong,Galio,Orianna,Jayce
Defeat,1062,Orianna,Shen,Twisted Fate,Gangplank,Rengar,Graves,Fiddlesticks,Ornn,Lux,Vel'Koz
Defeat,795,Nasus,Jayce,Nami,Kennen,Gnar,Miss Fortune,Janna,Lulu,LeBlanc,Singed
Victory,1318,Viktor,Kai'Sa,Blitzcrank,Aurelion Sol,Renekton,Lissandra,Lulu,Syndra,Morgana,Kha'Zix
Victory,1431,Xerath,Taric,Tristana,Thresh,Malphite,Varus,Sivir,Graves,Zed,Nidalee
Defeat,995,Brand,Kog'Maw,Quinn,Viktor,Shen,Caitlyn,Braum,Syndra,Malzahar,Draven
Defeat,841,Sejuani,Jax,Tristana,Zilean,Fizz,Fiddlesticks,Lux,Hecarim,Jinx,Caitlyn
Victory,1089,Lux,Heimerdinger,Mordekaiser,Vayne,Orianna,Anivia,Blitzcrank,Draven,Thresh,Trundle
Defeat,970,Nidalee,Orianna,Cho'Gath,Tahm Kench,Corki,Ashe,Xin Zhao,Irelia,Ziggs,Aatrox
Defeat,1227,Sivir,Lux,Rumble,Azir,Yasuo,Morgana,Twitch,Brand,Warwick,Teemo
Defeat,1193,Ashe,Warwick,Katarina,Jhin,Karma,Tahm Kench,Caitlyn,Darius,Taliyah,Jax
Defeat,1350,Taric,Irelia,Nidalee,Varus,Miss Fortune,Brand,Rakan,Morgana,Xayah,Lee Sin
Defeat,1689,Taliyah,Shyvana,Graves,Heimerdinger,Ekko,Teemo,Nidalee,Lucian,Illaoi,Orianna
Defeat,1115,Nami,Aatrox,Singed,Leona,Nunu & Willump,Soraka,Karma,Draven,Blitzcrank,Lucian
Victory,1794,Ryze,Zilean,Shyvana,Ezreal,Volibear,Sion,Vel'Koz,Diana,LeBlanc,Jinx
Victory,1290,Vayne,Akali,Kassadin,Jinx,Maokai,Talon,Kai'Sa,Blitzcrank,Syndra,Amumu
Defeat,1425,Gangplank,Hecarim,Teemo,Miss Fortune,Ziggs,Jinx,Volibear,Sona,Nocturne,Urgot
Victory,971,Kog'Maw,Yorick,Varus,Katarina,Xayah,Rengar,Xerath,Nidalee,Lux,Karma
Victory,1043,Cassiopeia,Aatrox,Caitlyn,Varus,Alistar,Twisted Fate,Kindred,Illaoi,Janna,Diana
Defeat,1828,Ekko,Vel'Koz,Hecarim,Pyke,Anivia,Tristana,Kassadin,Veigar,Mordekaiser,Thresh
